 gate_2_Voltage  gate_1_Voltage   drain_Voltage  source_Voltage      substrate_Voltage source_channel_Current drain_channel_Current substrate_substrateregion_Current
 0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.32314615e-10       -1.32314083e-10 -1.11667717e-15
 1.00000000e-01  1.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.60703525e-09       -1.60703528e-09 -3.20359725e-17
 2.00000000e-01  2.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         9.53536278e-09       -9.53536272e-09 -3.63246332e-16
 3.00000000e-01  3.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.07892613e-08       -5.07892615e-08 -3.93288368e-16
 4.00000000e-01  4.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.47076170e-07       -1.47076170e-07 -3.94397539e-16
 5.00000000e-01  5.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.98974880e-07       -2.98974880e-07 -2.40198930e-16
 6.00000000e-01  6.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.01736817e-07       -5.01736817e-07 -1.09071175e-17
 7.00000000e-01  7.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         7.48502846e-07       -7.48502845e-07 -1.38838038e-15
 8.00000000e-01  8.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.03732586e-06       -1.03732586e-06 -4.65260236e-16
 9.00000000e-01  9.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.36388117e-06       -1.36388117e-06  8.00496631e-16
 1.00000000e+00  1.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.72375159e-06       -1.72375159e-06  1.00913020e-16
 1.10000000e+00  1.10000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.11255636e-06       -2.11255636e-06  9.66685080e-17
 1.20000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.52568073e-06       -2.52568073e-06  2.70102092e-17
 1.30000000e+00  1.30000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.95818989e-06       -2.95818989e-06 -3.21627703e-17
 1.40000000e+00  1.40000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.40437877e-06       -3.40437877e-06  1.56433694e-16
 1.50000000e+00  1.50000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.85704856e-06       -3.85704856e-06  7.25631984e-18
 1.60000000e+00  1.60000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.30794138e-06       -4.30794138e-06  6.86124801e-18
 1.70000000e+00  1.70000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.74679049e-06       -4.74679049e-06  7.16196847e-17
 1.80000000e+00  1.80000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.15116442e-06       -5.15116442e-06  3.21113655e-16
 1.90000000e+00  1.90000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.54719972e-06       -5.54719971e-06 -3.88158011e-16
 2.00000000e+00  2.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.91773918e-06       -5.91773918e-06 -1.43698603e-16
