 gate_2_Voltage  gate_1_Voltage   drain_Voltage  source_Voltage      substrate_Voltage source_channel_Current drain_channel_Current substrate_substrateregion_Current
 0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.18181674e-10       -5.18181738e-10 -4.39376604e-16
 5.00000000e-01  5.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         9.28076320e-07       -9.28076320e-07 -1.00322413e-16
 1.00000000e+00  1.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.82048726e-06       -3.82048726e-06 -7.17435468e-19
 1.50000000e+00  1.50000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         6.75586304e-06       -6.75586304e-06 -7.25390590e-18
 2.00000000e+00  2.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         8.70430882e-06       -8.70430882e-06  2.66429780e-16
 gate_2_Voltage  gate_1_Voltage   drain_Voltage  source_Voltage      substrate_Voltage source_channel_Current drain_channel_Current substrate_substrateregion_Current
 0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         6.16246826e-10       -6.16246582e-10 -6.91197876e-16
 5.00000000e-01  5.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.95317065e-07       -4.95317065e-07 -8.25197393e-16
 1.00000000e+00  1.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.43578843e-06       -2.43578843e-06 -1.14874200e-17
 1.50000000e+00  1.50000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.17477118e-06       -5.17477118e-06 -2.59663153e-17
 2.00000000e+00  2.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         7.66230416e-06       -7.66230416e-06  8.94079203e-18
