 gate_2_Voltage  gate_1_Voltage   drain_Voltage  source_Voltage      substrate_Voltage source_channel_Current drain_channel_Current substrate_substrateregion_Current
 0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.88460444e-11       -3.88456403e-11 -1.34823350e-15
 1.00000000e-01  1.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.80665437e-10       -4.80665454e-10 -9.12412736e-19
 2.00000000e-01  2.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.99999237e-09       -4.99999236e-09 -8.39984594e-17
 3.00000000e-01  3.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.41089082e-08       -2.41089084e-08  1.27776584e-17
 4.00000000e-01  4.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         8.39547391e-08       -8.39547391e-08 -3.25436324e-17
 5.00000000e-01  5.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.83664675e-07       -1.83664675e-07  2.49445821e-18
 6.00000000e-01  6.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.15031969e-07       -3.15031969e-07  2.85807350e-18
 7.00000000e-01  7.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.75664604e-07       -4.75664604e-07  1.33540559e-17
 8.00000000e-01  8.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         6.64447538e-07       -6.64447539e-07  2.63329882e-15
 9.00000000e-01  9.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         8.79966967e-07       -8.79966969e-07  2.30712405e-15
 1.00000000e+00  1.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.12065864e-06       -1.12065864e-06  1.22644074e-15
 1.10000000e+00  1.10000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.38468172e-06       -1.38468173e-06  4.74033120e-16
 1.20000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.66986453e-06       -1.66986453e-06  2.43896803e-16
 1.30000000e+00  1.30000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.97375169e-06       -1.97375169e-06  5.78707937e-17
 1.40000000e+00  1.40000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.29335827e-06       -2.29335827e-06  1.04450194e-16
 1.50000000e+00  1.50000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.62493204e-06       -2.62493204e-06 -8.77215087e-17
 1.60000000e+00  1.60000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.96197561e-06       -2.96197561e-06  2.11880074e-17
 1.70000000e+00  1.70000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.29993435e-06       -3.29993435e-06  1.80110622e-17
 1.80000000e+00  1.80000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.63128778e-06       -3.63128778e-06  1.06052159e-17
 1.90000000e+00  1.90000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.94971405e-06       -3.94971405e-06  8.06452007e-18
 2.00000000e+00  2.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.25075501e-06       -4.25075501e-06  7.15776687e-18
