 gate_2_Voltage  gate_1_Voltage   drain_Voltage  source_Voltage      substrate_Voltage source_channel_Current drain_channel_Current substrate_substrateregion_Current
 0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.19736954e-10       -4.19736682e-10 -7.67741762e-16
 1.00000000e-01  1.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.40428914e-09       -4.40428901e-09  2.62597850e-17
 2.00000000e-01  2.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.19684642e-08       -2.19684639e-08 -2.19911876e-16
 3.00000000e-01  3.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         8.50068454e-08       -8.50068462e-08 -1.16614937e-15
 4.00000000e-01  4.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.08303885e-07       -2.08303884e-07 -1.15480499e-15
 5.00000000e-01  5.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.93484202e-07       -3.93484202e-07 -5.59868785e-16
 6.00000000e-01  6.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         6.38692548e-07       -6.38692547e-07 -3.28602809e-16
 7.00000000e-01  7.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         9.40079543e-07       -9.40079542e-07 -5.06566922e-16
 8.00000000e-01  8.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.29234438e-06       -1.29234438e-06 -7.79030657e-17
 9.00000000e-01  9.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.68932948e-06       -1.68932948e-06  3.44930729e-18
 1.00000000e+00  1.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.12453185e-06       -2.12453185e-06  7.90032296e-17
 1.10000000e+00  1.10000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.59119088e-06       -2.59119088e-06  5.64865750e-17
 1.20000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.08217232e-06       -3.08217232e-06 -1.57583659e-16
 1.30000000e+00  1.30000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.58979931e-06       -3.58979931e-06  1.05514079e-16
 1.40000000e+00  1.40000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.10479327e-06       -4.10479327e-06 -1.35136338e-16
 gate_2_Voltage  gate_1_Voltage   drain_Voltage  source_Voltage      substrate_Voltage source_channel_Current drain_channel_Current substrate_substrateregion_Current
 0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.19736954e-10       -4.19736682e-10 -7.67741762e-16
 1.00000000e-01  1.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.40428914e-09       -4.40428901e-09  2.62597850e-17
 2.00000000e-01  2.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.19684642e-08       -2.19684639e-08 -2.19911876e-16
 3.00000000e-01  3.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         8.50068454e-08       -8.50068462e-08 -1.16614937e-15
 4.00000000e-01  4.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.08303885e-07       -2.08303884e-07 -1.15480499e-15
 5.00000000e-01  5.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.93484202e-07       -3.93484202e-07 -5.59868785e-16
 6.00000000e-01  6.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         6.38692548e-07       -6.38692547e-07 -3.28602809e-16
 7.00000000e-01  7.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         9.40079543e-07       -9.40079542e-07 -5.06566922e-16
 8.00000000e-01  8.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.29234438e-06       -1.29234438e-06 -7.79030657e-17
 9.00000000e-01  9.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.68932948e-06       -1.68932948e-06  3.44930729e-18
 1.00000000e+00  1.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.12453185e-06       -2.12453185e-06  7.90032296e-17
 1.10000000e+00  1.10000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.59119088e-06       -2.59119088e-06  5.64865750e-17
 1.20000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.08217232e-06       -3.08217232e-06 -1.57583659e-16
 1.30000000e+00  1.30000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.58979931e-06       -3.58979931e-06  1.05514079e-16
 1.40000000e+00  1.40000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.10479327e-06       -4.10479327e-06 -1.35136338e-16
 gate_2_Voltage  gate_1_Voltage   drain_Voltage  source_Voltage      substrate_Voltage source_channel_Current drain_channel_Current substrate_substrateregion_Current
 0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.19736954e-10       -4.19736682e-10 -7.67741762e-16
 1.00000000e-01  1.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.40428914e-09       -4.40428901e-09  2.62597850e-17
 2.00000000e-01  2.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.19684642e-08       -2.19684639e-08 -2.19911876e-16
 3.00000000e-01  3.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         8.50068454e-08       -8.50068462e-08 -1.16614937e-15
 4.00000000e-01  4.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.08303885e-07       -2.08303884e-07 -1.15480499e-15
 5.00000000e-01  5.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.93484202e-07       -3.93484202e-07 -5.59868785e-16
 6.00000000e-01  6.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         6.38692548e-07       -6.38692547e-07 -3.28602809e-16
 7.00000000e-01  7.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         9.40079543e-07       -9.40079542e-07 -5.06566922e-16
 8.00000000e-01  8.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.29234438e-06       -1.29234438e-06 -7.79030657e-17
 9.00000000e-01  9.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         1.68932948e-06       -1.68932948e-06  3.44930729e-18
 1.00000000e+00  1.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.12453185e-06       -2.12453185e-06  7.90032296e-17
 1.10000000e+00  1.10000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.59119088e-06       -2.59119088e-06  5.64865750e-17
 1.20000000e+00  1.20000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.08217232e-06       -3.08217232e-06 -1.57583659e-16
 1.30000000e+00  1.30000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         3.58979931e-06       -3.58979931e-06  1.05514079e-16
 1.40000000e+00  1.40000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.10479327e-06       -4.10479327e-06 -1.35136338e-16
 gate_2_Voltage  gate_1_Voltage   drain_Voltage  source_Voltage      substrate_Voltage source_channel_Current drain_channel_Current substrate_substrateregion_Current
 0.00000000e+00  0.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.19736954e-10       -4.19736682e-10 -7.67741762e-16
 5.00000000e-01  5.00000000e-01  2.00000000e+00  0.00000000e+00         0.00000000e+00         4.56124403e-07       -4.56124403e-07 -8.46492611e-16
 1.00000000e+00  1.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         2.32541965e-06       -2.32541965e-06  1.13443647e-17
 1.50000000e+00  1.50000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         5.00832259e-06       -5.00832259e-06 -2.11851551e-17
 2.00000000e+00  2.00000000e+00  2.00000000e+00  0.00000000e+00         0.00000000e+00         7.48999785e-06       -7.48999785e-06  8.45961299e-18
